step,max_d_obs,max_d_action,d_root_z,d_root_x,z_isaac,z_mujoco
216,13.662,1.9403,0.04539,1.3902,0.7518,0.7064
217,13.32,2.4277,0.039811,1.3996,0.7494,0.7096
218,13.32,2.5321,0.033602,1.4098,0.7482,0.7146
219,14.362,2.7945,0.02726,1.4209,0.7479,0.7207
220,14.362,2.8621,0.021732,1.4323,0.7487,0.7270
221,13.181,2.3189,0.018705,1.4416,0.7509,0.7322
222,12.181,1.7013,0.019349,1.4489,0.7549,0.7355
223,12.625,3.0249,0.06285,5.714,0.8000,0.7371
224,11.82,7.3067,0.059725,5.746,0.7971,0.7374
225,11.82,7.3097,0.054962,5.7785,0.7911,0.7362
226,11.402,6.8948,0.053979,5.8105,0.7876,0.7336
227,11.032,6.1198,0.055308,5.8405,0.7864,0.7311
228,11.171,5.126,0.056156,5.869,0.7864,0.7302
229,11.171,5.7943,0.05593,5.8968,0.7863,0.7304
230,12.407,7.5444,0.056281,5.9266,0.7865,0.7302
231,13.797,8.0664,0.058711,5.9591,0.7867,0.7280
232,13.797,7.8323,0.063551,5.9932,0.7868,0.7233
233,14.222,6.5929,0.071019,6.0283,0.7867,0.7156
234,14.222,5.6241,0.07866,6.0617,0.7860,0.7073
235,14.445,4.6511,0.080904,6.0912,0.7851,0.7041
236,14.445,4.5426,0.079916,6.1198,0.7841,0.7042
237,14.275,4.726,0.077185,6.1485,0.7832,0.7060
238,14.275,5.4363,0.072257,6.1763,0.7820,0.7097
239,13.571,6.2316,0.065579,6.2033,0.7803,0.7148
240,12.634,6.8314,0.057395,6.2297,0.7782,0.7208
241,12.634,7.351,0.04898,6.2546,0.7754,0.7265
242,12.583,7.7909,0.04147,6.2778,0.7721,0.7306
243,12.583,7.9724,0.035224,6.2999,0.7684,0.7331
244,12.615,7.8724,0.03068,6.3222,0.7649,0.7343
245,12.615,7.6865,0.02759,6.3457,0.7618,0.7342
246,12.374,7.1354,0.026547,6.3706,0.7598,0.7332
247,10.852,6.1223,0.028118,6.3961,0.7596,0.7315
248,9.894,4.9996,0.031143,6.4197,0.7615,0.7304
249,11.455,4.6935,0.034415,6.4418,0.7650,0.7306
250,13.63,5.933,0.038209,6.4646,0.7695,0.7313
251,12.999,6.5863,0.043905,6.4889,0.7746,0.7307
252,12.999,6.6708,0.051798,6.5151,0.7793,0.7275
253,12.917,6.0285,0.061742,6.5428,0.7831,0.7214
254,12.917,4.7524,0.072746,6.5721,0.7857,0.7130
255,13.149,3.5159,0.080079,6.5986,0.7871,0.7071
256,13.149,3.5429,0.08192,6.6236,0.7875,0.7056
257,13.432,4.4196,0.080557,6.6489,0.7870,0.7064
258,13.432,5.1026,0.076614,6.6735,0.7857,0.7091
259,13.473,5.8149,0.070113,6.6966,0.7837,0.7136
260,12.772,6.4752,0.06169,6.7186,0.7810,0.7193
261,12.372,6.985,0.05247,6.7392,0.7777,0.7252
262,12.011,7.3966,0.043523,6.7577,0.7737,0.7302
263,12.011,7.6963,0.035639,6.7743,0.7688,0.7332
264,11.664,7.843,0.028504,6.7901,0.7630,0.7345
265,11.664,7.9398,0.021442,6.8058,0.7563,0.7348
266,11.359,7.6984,0.016243,6.8232,0.7503,0.7341
267,10.559,7.2573,0.013212,6.8418,0.7458,0.7326
268,10.559,6.5969,0.012846,6.8597,0.7431,0.7303
269,10.552,5.214,0.014572,6.8767,0.7426,0.7281
270,12.765,5.4654,0.016436,6.8939,0.7441,0.7277
271,17.225,6.7531,0.019242,6.9116,0.7475,0.7282
272,16.429,7.3125,0.02457,6.9304,0.7523,0.7277
273,16.429,7.0829,0.033825,6.9509,0.7581,0.7243
274,15.412,6.1238,0.046421,6.9732,0.7646,0.7181
275,15.412,4.4246,0.061344,6.9965,0.7709,0.7096
276,14.739,3.203,0.072565,7.0168,0.7763,0.7037
277,14.739,3.598,0.077697,7.0362,0.7801,0.7024
278,15.882,4.6089,0.0787,7.0568,0.7821,0.7034
279,14.993,5.4126,0.076516,7.0782,0.7827,0.7062
280,14.993,6.1655,0.071234,7.0988,0.7822,0.7110
281,14.08,6.8084,0.063686,7.1187,0.7807,0.7170
282,14.08,7.3012,0.055162,7.1374,0.7783,0.7231
283,13.373,7.6898,0.046802,7.1539,0.7749,0.7281
284,13.373,7.9047,0.039441,7.1685,0.7705,0.7311
285,12.692,7.9893,0.032725,7.1824,0.7650,0.7323
286,12.692,7.9706,0.025659,7.1965,0.7581,0.7325
287,12.079,7.7349,0.018367,7.2113,0.7497,0.7313
288,11.017,7.1864,0.011463,7.2278,0.7410,0.7295
289,10.762,6.2365,0.007291,7.2449,0.7345,0.7272
290,10.762,5.0833,0.0046022,7.2601,0.7304,0.7258
291,13.599,6.4043,0.0027156,7.2749,0.7284,0.7256
292,17.201,7.6388,0.00264,7.2914,0.7285,0.7259
293,17.763,8.0886,0.0063995,7.3103,0.7310,0.7246
294,17.763,7.7395,0.014556,7.331,0.7352,0.7206
295,18.084,6.6293,0.02643,7.3534,0.7403,0.7139
296,18.084,4.8179,0.040338,7.3763,0.7456,0.7053
297,18.429,2.7798,0.049893,7.3957,0.7508,0.7009
298,18.429,3.241,0.055586,7.4144,0.7561,0.7005
299,19.063,4.08,0.059671,7.4337,0.7619,0.7022
300,19.063,4.9535,0.062118,7.4526,0.7679,0.7058
301,19.393,5.8877,0.06233,7.4706,0.7734,0.7111
302,17.762,6.7364,0.060081,7.4878,0.7778,0.7177
303,16.939,7.2658,0.056222,7.5035,0.7805,0.7242
304,16.693,7.6163,0.051663,7.5176,0.7811,0.7294
305,16.693,7.855,0.047369,7.5307,0.7802,0.7329
306,16.065,7.9481,0.043639,7.5437,0.7783,0.7346
307,16.065,7.8697,0.03972,7.5571,0.7752,0.7354
308,14.769,7.5241,0.035982,7.5712,0.7710,0.7350
309,13.149,6.9528,0.032126,7.5855,0.7658,0.7337
310,12.188,6.1481,0.027684,7.5982,0.7592,0.7315
311,10.489,5.0714,0.021071,7.609,0.7510,0.7299
312,11.23,4.8314,0.013631,7.6213,0.7435,0.7298
313,13.4,6.8256,0.0089749,7.636,0.7388,0.7298
314,16.529,8.3054,0.0083652,7.6524,0.7365,0.7281
